"Rank","City","County","VantageScore 3.0 Credit Score"
"1","Colgate","Washington","778"
"2","Hubertus","Washington","777"
"3","Greenville","Outagamie","772"
"4","Elkhart Lake","Sheboygan","772"
"5","Elm Grove","Waukesha","771"
"6","Waunakee","Dane","768"
"7","Mequon","Ozaukee","767.7691592"
"8","Brookfield","Waukesha","767.1142378"
"9","Verona","Dane","766"
"10","New Franken","Brown","765"
"11","Sobieski","Oconto","764"
"12","Cedarburg","Ozaukee","763"
"13","Oostburg","Sheboygan","763"
"14","Richfield","Washington","763"
"15","Delafield","Waukesha","762"
"16","New Berlin","Waukesha","761.1890153"
"17","Muskego","Waukesha","761"
"18","Menomonee Falls","Waukesha","760"
"19","Middleton","Dane","760"
"20","Big Bend","Waukesha","760"
"21","Mc Farland","Dane","759"
"22","Sussex","Waukesha","758"
"23","Luxemburg","Kewaunee","758"
"24","Cross Plains","Dane","758"
"25","Combined Locks","Outagamie","758"
"26","Wales","Waukesha","758"
"27","Germantown","Washington","757"
"28","Oregon","Dane","757"
"29","Marathon","Marathon","757"
"30","Franklin","Milwaukee","756"
"31","Pewaukee","Waukesha","756"
"32","Hortonville","Outagamie","755"
"33","Suamico","Brown","755"
"34","Hartland","Waukesha","753"
"35","Grafton","Ozaukee","753"
"36","Cottage Grove","Dane","753"
"37","Kiel","Manitowoc","753"
"38","Greenleaf","Brown","752"
"39","Mount Horeb","Dane","751"
"40","Denmark","Brown","751"
"41","Winneconne","Winnebago","751"
"42","Reedsville","Manitowoc","751"
"43","Fremont","Winnebago","750"
"44","De Pere","Brown","749"
"45","Slinger","Washington","749"
"46","Prairie Du Sac","Sauk","749"
"47","Stratford","Marathon","749"
"48","Hilbert","Calumet","749"
"49","Lodi","Columbia","747"
"50","Dousman","Waukesha","747"
"51","Cuba City","Grant","747"
"52","Black Creek","Outagamie","747"
"53","Cedar Grove","Sheboygan","747"
"54","Oconomowoc","Waukesha","746"
"55","Hudson","St. Croix","746"
"56","Sheboygan Falls","Sheboygan","746"
"57","Amherst","Portage","746"
"58","Campbellsport","Fond du Lac","745"
"59","Belleville","Dane","745"
"60","Brooklyn","Green","745"
"61","Mukwonago","Waukesha","744"
"62","Holmen","La Crosse","744"
"63","De Forest","Dane","744"
"64","Franksville","Racine","744"
"65","Nashotah","Waukesha","744"
"66","Onalaska","La Crosse","743"
"67","Plymouth","Sheboygan","743"
"68","Jackson","Washington","743"
"69","Trempealeau","Trempealeau","743"
"70","Bloomer","Chippewa","742"
"71","Sturgeon Bay","Door","741"
"72","Greendale","Milwaukee","741"
"73","Kewaskum","Washington","741"
"74","Eagle","Waukesha","741"
"75","Fredonia","Ozaukee","741"
"76","Caledonia","Racine","741"
"77","New Glarus","Green","740"
"78","Belgium","Ozaukee","740"
"79","Eleva","Eau Claire","740"
"80","Waterford","Racine","739"
"81","Chilton","Calumet","739"
"82","Cambridge","Dane","739"
"83","Minocqua","Oneida","739"
"84","Edgar","Marathon","739"
"85","Mosinee","Marathon","738"
"86","Seymour","Outagamie","738"
"87","Spring Green","Sauk","738"
"88","West Salem","La Crosse","737"
"89","Fall Creek","Eau Claire","737"
"90","Mazomanie","Dane","737"
"91","Hazel Green","Grant","737"
"92","Kaukauna","Outagamie","736"
"93","Mineral Point","Iowa","736"
"94","Hatley","Marathon","736"
"95","Marshfield","Wood","735"
"96","Kewaunee","Kewaunee","735"
"97","Athens","Marathon","735"
"98","Brillion","Calumet","735"
"99","New Holstein","Calumet","735"
"100","Wrightstown","Brown","735"
"101","Hartford","Washington","734"
"102","Lake Mills","Jefferson","734"
"103","Lancaster","Grant","734"
"104","Sauk City","Sauk","734"
"105","Sun Prairie","Dane","733"
"106","Medford","Taylor","733"
"107","Deerfield","Dane","733"
"108","West Bend","Washington","732.1119766"
"109","Neenah","Winnebago","732"
"110","River Falls","Pierce","732"
"111","Stoughton","Dane","732"
"112","Plover","Portage","732"
"113","Port Washington","Ozaukee","732"
"114","Poynette","Columbia","732"
"115","Shiocton","Outagamie","732"
"116","Washburn","Bayfield","732"
"117","Florence","Florence","732"
"118","Solon Springs","Douglas","732"
"119","Westby","Vernon","731"
"120","Pulaski","Shawano","730"
"121","Elk Mound","Dunn","730"
"122","Ixonia","Jefferson","730"
"123","Eagle River","Vilas","729"
"124","Prescott","Pierce","729"
"125","Colfax","Dunn","729"
"126","Roberts","St. Croix","729"
"127","Pleasant Prairie","Kenosha","728"
"128","Greenwood","Clark","728"
"129","Windsor","Dane","728"
"130","Phillips","Price","727"
"131","Bonduel","Shawano","727"
"132","Randolph","Columbia","727"
"133","Spring Valley","Pierce","727"
"134","Appleton","Outagamie","726.4867948"
"135","Woodruff","Vilas","726"
"136","Spencer","Clark","726"
"137","Markesan","Green Lake","726"
"138","Lena","Oconto","726"
"139","Madison","Dane","725.3928654"
"140","Platteville","Grant","725"
"141","Milton","Rock","725"
"142","Dodgeville","Iowa","725"
"143","Saukville","Ozaukee","725"
"144","Algoma","Kewaunee","725"
"145","Random Lake","Sheboygan","725"
"146","Waukesha","Waukesha","724.9715672"
"147","Nekoosa","Adams","724"
"148","Oneida","Outagamie","724"
"149","Kimberly","Outagamie","724"
"150","Birnamwood","Shawano","724"
